# Performance monitoring events for AMD Family 17h processors.
# See Section 2.1.15.4 of AMD's "Processor Programming Reference" (June 2019)

000.01 FpuPipeAssignment.Total0
28A.01 IcOcModeSwitch.IcOcModeSwitch
28A.02 IcOcModeSwitch.OcIcModeSwitch
0AA.01 DeDisUopsFromDecoder.DecoderDispatched
0AA.02 DeDisUopsFromDecoder.OpCacheDispatched
0AE.01 DeDisDispatchTokenStalls1.IntPhyRegFileRsrcStall
0AE.02 DeDisDispatchTokenStalls1.LoadQueueRsrcStall
0AE.04 DeDisDispatchTokenStalls1.StoreQueueRsrcStall
0AE.08 DeDisDispatchTokenStalls1.IntSchedulerMiscRsrcStall
0AE.10 DeDisDispatchTokenStalls1.TakenBrnchBufferRsrc
0AE.20 DeDisDispatchTokenStalls1.FpRegFileRsrcStall
0AE.40 DeDisDispatchTokenStalls1.FPSchRsrcStall
0AE.80 DeDisDispatchTokenStalls1.FPMiscRsrcStall
0AF.01 DeDisDispatchTokenStalls0.ALSQ1RsrcStall
0AF.02 DeDisDispatchTokenStalls0.ALSQ2RsrcStall
0AF.04 DeDisDispatchTokenStalls0.ALSQ3RsrcStall
0AF.08 DeDisDispatchTokenStalls0.ALSQ3_0_RsrcStall
0AF.10 DeDisDispatchTokenStalls0.ALURsrcStall
0AF.20 DeDisDispatchTokenStalls0.AGSQRsrcStall
0AF.40 DeDisDispatchTokenStalls0.RetireRsrcStall
0C0.00 ExRetInstr
0C1.00 ExRetCops
0C2.00 ExRetBrn
0C3.00 ExRetBrnMisp
0C4.00 ExRetBrnTkn
0C5.00 ExRetBrnTknMisp
0C6.00 ExRetBrnFar
0C8.00 ExRetNearRet
0C9.00 ExRetNearRetMispred
0CA.00 ExRetBrnIndMisp
0CB.01 ExRetMmxFpInstr.X87Instr
0CB.02 ExRetMmxFpInstr.MmxInstr
0CB.04 ExRetMmxFpInstr.SseInstr
0D1.00 ExRetCond
0D3.00 ExDivBusy
0D4.00 ExDivCount
1CF.01 ExTaggedIbsOps.IbsTaggedOps
1CF.02 ExTaggedIbsOps.IbsTaggedOpsRet
1CF.04 ExTaggedIbsOps.IbsCountRollover
1D0.00 ExRetFusBrnchInst
060.01 L2RequestG1.OtherRequests
060.02 L2RequestG1.L2HwPf
060.04 L2RequestG1.PrefetchL2
060.08 L2RequestG1.ChangeToX
060.10 L2RequestG1.CacheableIcRead
060.20 L2RequestG1.LsRdBlkC_S
060.40 L2RequestG1.RdBlkX
060.80 L2RequestG1.RdBlkL
061.01 L2RequestG2.BusLocksResponses
061.02 L2RequestG2.BusLocksOriginator
061.04 L2RequestG2.SmcInval
061.08 L2RequestG2.IcRdSizedNC
061.10 L2RequestG2.IcRdSized
061.20 L2RequestG2.LsRdSizedNC
061.40 L2RequestG2.LsRdSized
061.80 L2RequestG2.Group1
062.01 L2Latency.L2CyclesWaitingOnFills
064.01 L2CacheReqStat.IcFillMiss
064.02 L2CacheReqStat.IcFillHitS
064.04 L2CacheReqStat.IcFillHitX
064.08 L2CacheReqStat.LsRdBlkC
064.10 L2CacheReqStat.LsRdBlkX
064.20 L2CacheReqStat.LsRdBlkLHitS
064.40 L2CacheReqStat.LsRdBlkLHitX
064.80 L2CacheReqStat.LsRdBlkCS
06D.01 L2FillPending.L2FillBusy
070.00 L2PfHitL2
071.00 L2PfMissL2HitL3
072.00 L2PfMissL2L3
